,DK2_scaled
0,0.0009931758358944491
1,0.0009738102903477608
2,0.0009302378128677118
3,0.0008991146146676768
4,0.0008818239490009909
5,0.000866608163214307
6,0.000891506721774335
7,0.0009212466667210351
8,0.0009295461862410443
9,0.000978651676734433
10,0.0010395148198811678
11,0.0010823956707345494
12,0.0011066026026679099
13,0.001120435135201259
14,0.0011432588138812845
15,0.0011605494795479704
16,0.0012380116617347243
17,0.0013175487238014803
18,0.0013037161912681314
19,0.0012580688339080802
20,0.0011806066517213265
21,0.0011169770020679217
22,0.0010374399400011655
23,0.0009689689039610887
24,0.0009122555205743583
25,0.0008838988288809932
26,0.0008755993093609838
27,0.0008921983484010025
28,0.0009060308809343513
29,0.0009911009560144468
30,0.001120435135201259
31,0.0012974915516281245
32,0.0013569714415215246
33,0.0013894778929748946
34,0.0014185262112949271
35,0.0014268257308149364
36,0.0014109183184015852
37,0.001401235545628241
38,0.0013922443994815643
39,0.0014157597047882572
40,0.0014849223674550016
41,0.0015720673224150995
42,0.0015098209260150297
43,0.0014095350651482502
44,0.0012891920321081152
45,0.001202047077148017
46,0.0010976114565212332
47,0.0009980172222811214
48,0.0009032643744276814
49,0.0008548505105609605
50,0.0008327184585076023
51,0.0008334100851342698
52,0.0008576170170676303
53,0.000916405280334363
54,0.0010533473524145167
55,0.00123109539546805
56,0.001312707337414808
57,0.0013369142693481688
58,0.0013659625876682013
59,0.0013770286136948805
60,0.0013680374675482036
61,0.0013680374675482036
62,0.001363887707788199
63,0.0013867113864682247
64,0.0014828474875749993
65,0.0015499352703617416
66,0.0015112041792683646
67,0.0014033104255082433
68,0.0012981831782547918
69,0.0012304037688413824
70,0.0011273514014679333
71,0.0010616468719345262
72,0.0009848763163744399
73,0.0009793433033611003
74,0.000966202397454419
75,0.0009509866116677351
76,0.0009468368519077305
77,0.0009537531181744049
78,0.000966202397454419
79,0.0010374399400011655
80,0.0011010695896545703
81,0.0011425671872546171
82,0.0012352451552280546
83,0.0012317870220947174
84,0.0012055052102813543
85,0.0011799150250946591
86,0.0011570913464146334
87,0.0011723071322013172
88,0.0012981831782547918
89,0.0014199094645482619
90,0.0014033104255082433
91,0.0012954166717481222
92,0.0011992805706413474
93,0.001131501161227938
94,0.0010305236737344911
95,0.0009572112513077421
96,0.0009115638939476909
97,0.0008417096046542791
98,0.0008092031532009092
99,0.0008306435786276
100,0.0008092031532009092
101,0.0008202691792275883
102,0.0008562337638142954
103,0.0009129471472010258
104,0.0009911009560144468
105,0.0010851621772412193
106,0.0011460253203879542
107,0.001197205690761345
108,0.0012089633434146916
109,0.0011978973173880124
110,0.0012207209960680384
111,0.0012117298499213613
112,0.0013113240841614734
113,0.0014275173574416038
114,0.0014033104255082433
115,0.001312707337414808
116,0.0012075800901613567
117,0.0011404923073746148
118,0.00104435620626784
119,0.000958594504561077
120,0.000885282082134328
121,0.0008472426176676186
122,0.0008313352052542674
123,0.000836868218267607
124,0.0008672997898409744
125,0.0009489117317877328
126,0.0011391090541212799
